"word","stars"
"cannot_wait",3.35205845147108
"highly_recommender",3.31970944555988
"notable_disappointed",3.17263604205479
"yummmm",3.1496491405183
"delicioso",2.98882931182171
"super_friendly_service",2.96069324602765
"goood",2.93738050579828
"super_friendly_staff",2.93026814437238
"mazing",2.9209985802317
"fantastical",2.91455009812539
"highly_recommend",2.88697193318014
"absolutely_amazing",2.87052132627256
"charismatic",2.85684558500593
"amazing_food",2.8440246113164
"awesome_food",2.83951823362666
"hidden_gem",2.81605168909586
"totally_worth",2.7906225929086
"love_love",2.78407976156508
"not_skip",2.75248635915159
"gem",2.75090092487397
"olivier",2.73816254383825
"creamiest",2.73222839177986
"perfectly_seasoned",2.72531684997069
"unmatched",2.69959055545875
"braddah",2.69551082591861
"alyssa",2.68871127668505
"bomb.com",2.68231170093581
"yummmmm",2.67511217821792
"not_regret",2.66624320095674
"delicious_food",2.65550216836832
"excellent_food",2.65396307859512
"exceeded",2.65134331915798
"unbeatable",2.64261263781342
"awesome_service",2.63560661776327
"amazeballs",2.63431488281653
"unparalleled",2.63431488281653
"perfect_amount",2.63215184506329
"not_disappoint",2.6223388049967
"amazing_service",2.60514580204645
"perfection",2.60464842388156
"absolutely_delicious",2.59798890433796
"not_miss",2.57709270225354
"masterfully",2.56437666212843
"addicted",2.56200587498646
"impeccable",2.5616447003828
"not_disappointed",2.54913809046631
"incredible",2.5445697895296
"foodgasm",2.53640137385319
"mmmmmmmm",2.53640137385319
"sumptuous",2.53640137385319
"faves",2.53046722179481
"super_fresh",2.52397829091293
"goooood",2.52265912698114
"seamlessly",2.51523088542868
"hooked",2.50738996378998
"personal_favourite",2.49787802606434
"expertly",2.48925783250047
"irresistible",2.48132502506131
"cutest",2.48086833891876
"langoustine",2.4772837835357
"heavenly",2.47363354812916
"bosnian",2.47112570121096
"favorites",2.46922815258764
"coho",2.45807056668252
"phenomenal",2.4550494435435
"lohnt",2.45394789262091
"fantabulous",2.45072705351027
"sensational",2.45072705351027
"highly_recommended",2.44224748209546
"flawless",2.44118273210903
"superb",2.43906599081502
"gooooood",2.43848786488985
"richly",2.43848786488985
"super_tasty",2.43360280912812
"unassuming",2.42948098424337
"super_friendly",2.42872338869863
"addicting",2.42863857700597
"divine",2.41932465622225
"cannot_go",2.41777539183991
"gangway",2.41589243974447
"pampered",2.41352951946783
"blissful",2.40937844330616
"sinful",2.40804416882562
"savoured",2.40369215509296
"mummy",2.40017388312159
"surpasses",2.40017388312159
"lish",2.38953111040818
"yumm",2.3821134203352
"absolutely_love",2.37770141136986
"délicieux",2.37637069253677
"townie",2.36983586435234
"levine",2.36854964420175
"sublime",2.36703746645715
"exquisite",2.36282742614546
"limoncello",2.36233291347392
"not_stuffy",2.36233291347392
"exquisitely",2.35088104108055
"impeccably",2.34820398000158
"marvellous",2.34559556151438
"heaven",2.34494766401917
"orgasmic",2.34486253880082
"immaculate",2.34221996111918
"immaculately",2.34057435592651
"not_intrusive",2.34057435592651
"not_overbearing",2.33918551182774
"not_pushy",2.33673461047697
"scrumptious",2.33195677850637
"mmmmm",2.32936540203846
"unpretentious",2.32769991530158
"yummm",2.32606865089491
"absolutely_loved",2.3249562502023
"inhaled",2.3249562502023
"top_notch",2.3235571867463
"underrated",2.31753588322926
"nom",2.31652542390043
"flawlessly",2.31140862985233
"awesomeness",2.3107024379377
"delish",2.30984739995207
"cannot_describe",2.3079365196054
"burmese",2.29538350563574
"magnificent",2.29410692794391
"delectable",2.28991411376999
"yonaka",2.2898043883159
"sweetest",2.28873779235769
"deliciously",2.28512512862828
"gnudi",2.27980045381134
"passionate",2.27676555233243
"snoh",2.27529868328429
"addictive",2.27467995652939
"masubi",2.26713922420401
"extremely_friendly",2.26696561869167
"cannot_beat",2.2627154210882
"brilliantly",2.25993970148612
"obtrusive",2.25354012573688
"seasonally",2.25234460059691
"mmmm",2.25138581310843
"calming",2.24647565900071
"pickiest",2.24603717485847
"wonderfully",2.2405843777682
"prefect",2.23950234667404
"lindsey",2.2337596188756
"versatile",2.23178156818947
"not_pretentious",2.22988951970709
"tranquil",2.2186443258967
"dimaggio",2.21727586315787
"excellent_service",2.21407669431747
"camille",2.21227389590559
"gravlax",2.21002301064207
"delis",2.20408885858368
"unobtrusive",2.20408885858368
"delicately",2.20320316424661
"perfectly_cooked",2.20221096236267
"licked",2.20206256275887
"obsessed",2.20026530699967
"shipwreck",2.1976735590611
"fantastic",2.19723029087801
"okinawa",2.19628076377002
"amazing",2.19603008474815
"royalty",2.19495939387848
"favorite",2.1938575619313
"mmmmmm",2.1932994912048
"personalized",2.19290152273591
"mouth_watering",2.18938027655863
"not_overwhelm",2.18925347843772
"perfect",2.18735283080418
"fab",2.18554463340123
"knowledgeable",2.18441379152443
"nome",2.18192968317579
"precision",2.17738517432095
"salivate",2.17441809829176
"outstanding",2.1647123485043
"adrian",2.14474733799984
